단어,빈도수
램,13
사이트,13
윤활유,13
염호,13
재건,13
정면,13
아파트,13
공법,13
커질,13
언제,13
살아난다,13
월일,13
에어,13
항만,13
성공예감,13
점프,13
인들,13
히터,13
흔들리는,13
맡아,13
받은,13
톱뉴스,13
노력,13
된다면,13
GSHD,13
역성,13
잡기,13
웃었다,13
STORY,13
변경,13
말레이시아,13
로부터,13
공식,13
스페인,13
요소,13
기본,13
나가는,13
소위,13
보유,13
엘,13
CCS,13
몸집,13
입찰,13
설치,13
중요성,13
거세진,13
불확실,13
고객,13
사상,13
토픽,13
남,13
닉,13
동분서주,13
절박,13
눈부신,13
맞추는,13
트렌드,13
경주,13
쏠리는,13
둔화,13
다가온,13
원자로,13
옥석,13
한중일,13
딥,13
보릿고개,13
빚,13
제동,13
초기,13
화려한,13
기능,13
팔고,13
헤드라인,13
제주도,13
오프라인,13
MZ,13
울진,13
동침,13
부실,13
심리,13
동현,13
결국,13
열쇠,13
봇물,13
데이,13
청소,13
가릴,13
A,13
열어,13
in,13
좌담,13
심사,13
찜,13
야,13
최광호,13
이사,13
상태,13
전성기,13
인도네시아,13
성적표,13
포춘,13
머스크,12
CCUS,12
해법,12
당진시,12
밥캣,12
ENTECH,12
굴기,12
화가,12
롤러코스터,12
사건,12
크,12
원대,12
단계,12
테크놀로지,12
쟁탈전,12
가짜,12
보도자료,12
가능한,12
운행,12
베스,12
CTO,12
제국,12
인증,12
했다,12
계기,12
수출입은행,12
영풍,12
분리,12
年,12
정권,12
아이오,12
벙커,12
금탑,12
세종,12
지킨,12
에너지정책,12
親,12
여겨,12
구조조정,12
이스트,12
소문,12
탄,12
광주,12
이고,12
박현철,12
유리,12
대폭,12
기아,12
받나,12
특수강,12
해공,12
금속,12
이행,12
난다,12
팬오션,12
열다,12
자만,12
수십조,12
단일,12
나노,12
키움,12
유로,12
러시아,12
난,12
수론,12
식량,12
포지셔닝,12
뺏,12
겨선,12
스토,12
여수,12
제이,12
스케치,12
드러낸,12
하부구조,12
UPDOWN,12
트,12
올리는,12
번째,12
확인,12
불가피,12
가이드,12
₂,12
형성,12
디스커버리,12
늘어,12
활짝,12
간판,12
박상규,12
日中,12
이름,12
늘린다,12
세습,12
OO,12
안정화,12
구조도,12
평택시,12
崔泰源,12
퇴보,12
출장,12
가도,12
금주,12
보호,12
선물,12
종료,12
자리,12
대학,12
더욱,12
조립,12
사랑,12
징크스,12
다크호스,12
재해,12
대책,12
데이터,12
조로,12
딜레마,12
누구,12
기간,12
축년,12
포석,12
보고서,12
으로의,12
아버지,12
전주,12
늪,12
만나는,12
경제성,12
모니터,12
태국,12
이끌고,12
짓고,12
싱크,11
붙은,11
시선,11
인체실험,11
이준석,11
FDA,11
경계,11
걸림,11
결합,11
환율,11
바스프,11
광물,11
파크,11
빨라진다,11
없이,11
냉열,11
마중,11
외전,11
예정,11
지민,11
훈련기,11
온라인,11
개방,11
예비,11
이틀,11
냐,11
암초,11
배치,11
성황리,11
일본주,11
때,11
대조,11
먼저,11
국민연금,11
이드,11
자구,11
탕,11
책,11
동기,11
달렸다,11
보였죠,11
넥스트,11
공모,11
살리기,11
맥주,11
하버드,11
만원,11
총동원,11
나오니,11
찾아라,11
엔젤,11
최영,11
클로즈업,11
돌풍,11
정비,11
Interview,11
앞세운,11
휘청,11
불의,11
하겠다,11
불과,11
KOREA,11
재탕,11
많아,11
직원,11
착한,11
과열,11
∼,11
다년,11
통상,11
부울경,11
않은,11
전선,11
컨콜,11
⑲,11
김지용,11
자원부,11
모의,11
가구,11
이재,11
김태흠,11
울진군,11
기자,11
며,11
향후,11
노다지,11
부지,11
다한,11
수단,11
살펴본,11
새만금,11
LGSK,11
확신,11
밸리,11
말,11
우선,11
차관,11
⓹,11
사원,11
책임질,11
희비,11
열린,11
장단,11
기선,11
잡자,11
화석연료,11
불문,11
투자가,11
잡는,11
놓인,11
추격,11
다가오는,11
높이,11
發,11
편,11
아연,11
제강,11
표준,11
스케,11
싣는,11
늘리고,11
뭉쳐야,11
열차,11
년차,11
고도화,11
첨병,11
떼고,11
전량,11
시험대,11
헬,11
모듈,11
복,11
수업,11
특허,11
로드,11
니켈,11
교환,10
절감,10
짓는,10
Net,10
운명,10
탐사,10
제휴,10
옷,10
공헌,10
설,10
갚는,10
차트,10
하기로,10
차별,10
타격,10
불어온다,10
선길,10
그린수소,10
중견,10
든든,10
노멀,10
에어택시,10
CC,10
캐나다,10
기고,10
KB,10
후계,10
장전,10
폭,10
다져,10
대적,10
쌍방울,10
국수,10
형제,10
LOUNGE,10
와이드,10
재정,10
강도,10
쌓은,10
Zero,10
찾다,10
조간,10
태광,10
장남,10
운,10
그림,10
교통,10
치열했지만,10
성적,10
속속,10
도나,10
선임,10
돌리는,10
칼럼,10
만도,10
등장,10
호기,10
퓨처,10
방긋,10
반값,10
익머,10
메티슨,10
피해,10
명가,10
몸값,10
방향성,10
가뭄,10
맞춰,10
쌤,10
이중고,10
결의,10
Top,10
힘주는,10
BU,10
빙하,10
손잡은,10
유일,10
원자재,10
바꾼,10
만들고,10
가능할까,10
구체화,10
꽂혔다,10
날,10
플러스,10
토목,10
넘버스,10
보증,10
伊,10
악재,10
고속도로,10
깐,10
얘기,10
지역별,10
장점,10
사각,10
지대,10
꾸준한,10
심각,10
앞서,10
모든,10
복기,10
책임지는,10
남은,10
선보인다,10
KS,10
보정,10
계수,10
남아,10
이락,10
디케,10
테크노,10
가교,10
워,10
색채,10
윤영준,10
지지,10
채권,10
당분간,10
의뢰,10
넓히는,10
弗,10
워치,10
유,10
올라,10
양자컴퓨터,10
맞춤,10
지평,10
수상자,10
Summit,10
Business,10
실어,10
나주,10
뭘,10
맨,10
차입,10
굳혀야수전해,10
경험,10
성윤,10
바라보는,10
의견,10
슈미트,10
강현,10
연산,10
마리,10
누린다,10
강사,10
한일,10
EU,10
컴업,10
ESCJ,10
에탄올,10
추월,10
모바일,10
연구소,10
열교환기,10
⑫,10
연결고리,10
문재인,10
리얼,10
행정,10
청직,10
슈퍼,10
신세계,10
총사,10
가연,10
정밀,10
大,10
욱,10
잡아,10
재원,10
토론,10
STX,10
사면,10
초청,10
만들던,10
꺼낼까,10
잠잠하던,10
험로,10
전문성,10
개인,10
시즌,10
NI,10
이전,10
책임자,10
만호,10
지만,10
용돈,10
심장,10
혼소,10
TCC,10
순이익,10
열띤,10
훨훨,9
끝났다,9
사설,9
화이트,9
연구개발,9
관광지,9
양양공항,9
불편한,9
혐의,9
살펴보니,9
맺은,9
전남도,9
사탄,9
보인,9
홍준표,9
불공정,9
거래소,9
선다,9
Meet,9
힌트,9
FOCUS,9
쌩큐,9
