단어,빈도수
유지,15
냐,11
안갯속,7
우는,3
날갯짓,1
앞당긴다,35
빠지다,15
뽑는다,1
경력,2
직,8
모,30
시기,4
혈안,1
조립,12
돌리는,10
키,60
워드,48
끝,14
CSO,6
선임,10
중대,16
재해,12
근절,2
순환,26
SWOT,8
상자,1
발생,6
순위,5
위험,14
법인세,1
재판,1
약점,1
미분,3
서다,3
신축년,1
영화,5
카카오,17
게임,37
즈,46
테마주,15
유니크,1
심혈,7
복,11
대림,2
스케치,12
대규모,70
하부구조,12
제작,21
UPDOWN,12
휴,2
스틸,30
제강,11
지주,24
아베,4
열중,1
노다지,11
캔다,2
성공예감,13
공급,139
데스크,100
HDC,39
현산,34
긴,19
겨울,19
흑석,19
구역,27
잡음,19
동향,108
첨,6
검단,6
사고,13
여파,5
하락,38
불가피,12
임대,3
보증금,3
반환,4
보증,10
가입,5
여부,15
알려,5
준다,4
시간여행,14
바꾸고,23
숨기,14
드러내고,14
한번,3
오일,57
머니,45
중동,215
분주,16
간판,12
버린,3
일변도,3
탈피,6
이름,12
날,10
열린,11
벌여,1
LH,6
인천,49
신도시,15
주지연,3
지체,3
보상,3
지급,4
떼는,8
사들이,1
미지,1
글쎄,3
술,3
부대,4
뗄,3
듯,36
부는,25
초록,5
시공,6
능력,9
원자재,10
인건비,2
탓,1
레이,2
주연,1
신중해진,1
돌린다,2
폐기물,7
붙이,1
안간힘,9
곤두박질,1
곳,24
인색한,1
수주로,9
병용,18
몸,2
리기,1
기류,1
에도,105
주는,15
셀프,9
차단,15
민영화,2
잔,2
혹사,2
불명예,2
퇴진,3
깰까,2
그,39
이상,76
식량,12
피처,2
독한,2
밝히다,2
한계,20
시간,18
들썩,25
중국,46
감산,2
했다,12
최정,3
우호,3
시가총액,2
되찾은,2
하반기,71
침수,2
딛고,7
兆,68
가격,14
멈췄다,2
엔솔,39
출신,5
정진,4
실장,2
옛말,9
재편,49
리튬,19
t,20
니켈,11
맞은,34
임기,4
이끌,18
탄소배출권,4
있어야,2
소환,5
제철소,17
건립,39
앞세운다,4
예상,27
부진,38
꾀,6
강의,2
기적,2
쇳물,2
잠잠하던,10
업종,17
불문,11
기초,34
지주사,46
직속,1
GM,8
포드,9
메가딜,9
현실,27
합병,31
시너지,43
연속,24
키맨,9
탱크,37
특수강,12
핫,22
시즌,10
무늬,1
본사,5
이전,10
속사정,5
투자가,11
나무,5
방미,34
사절단,7
빠진,13
바쁘다,3
바빠,3
非,2
유력,6
별,41
가할,1
관점,6
만든다,40
웨이브,7
김민,4
청년,8
행동,7
신뢰,9
높인다,24
스타트,5
드는,46
책임,27
분할,16
재벌,29
지배구조,27
주인,4
없는,46
지주회사,1
다방면,1
경험,10
풍부,3
남궁,19
김준형,3
굴뚝,29
선진국,8
필요해,2
인수합병,8
개편,18
BBB,3
렉스,1
등급,5
이끌까,4
비철,2
체계,15
갖춰,4
혼,3
다사,2
우디,2
PIF,8
EU,10
탄소세,3
도입,75
대응,53
발등,5
불신,3
로는,3
매직,3
의존,4
줄였,1
다비,1
약진,3
비,25
넘어선,1
끌어,8
올린다,2
고도화,11
현재,17
포스코에너지,7
통합,14
비전,102
중선,2
민경준,4
찜,13
시험지,1
바뀌어도,1
A,13
토대,8
이태성,5
세아,47
국부펀드,3
TEAM,2
KOREA,11
갈,16
바쁜,5
근심,5
커져,5
육,46
성년,4
스타트업,53
사모펀드,9
개방,11
포스코플랜텍,22
PRG,22
포항시,53
청직,10
전문성,10
활성화,137
행정,10
전서,1
만들기,3
저장,34
하기도,2
어려운데,2
긱스,2
정세균,1
총리,9
삼척,1
특구,1
방문,52
본,24
거지,1
CVC,16
설립,288
동국제강,15
목적,9
단장,16
바라보는,10
컴업,10
열띤,10
토론,10
조선업,20
KBiz,77
머스크,12
싱크,11
FDA,11
인체실험,11
승인,75
금융,61
위원장,9
「,9
크라,21
우드,9
펀딩,9
간담,21
」,9
최연혜,9
특혜,2
무,16
보직,2
알고도,1
강행,1
했는지,1
창립,26
돌,26
리더,56
줌,18
최강,24
국민,7
公,34
㎏,3
꽉,3
채우는,1
분점,1
비싸지는,1
유신,2
사회,103
완수,2
동기,11
대비,38
사령탑,3
임종,2
도시가스,6
뛴다,58
DX,26
부서,3
난방,7
대란,6
용돈,10
전문,56
임해,6
종,6
인명,3
감축,67
제이엔,3
국,81
산화수소,3
서호주,5
관료,1
기지,20
투자자,20
적극,40
역대,69
사업자,38
변모,17
인사이트,14
된다,31
냉열,11
될까,28
냉장,2
냉동,2
창고,2
이철,4
로우,4
카본,17
구현,7
아우르는,8
어제,4
프롬,2
BC,2
제시,14
버려진,3
키움,12
하루,8
광주,12
두번째,5
나다,1
⑲,11
무한,18
ㅣ,5
천연가스,22
공기,5
UP,14
올림픽,5
안보,26
현황,27
빠르게,4
노하우,6
어느,2
보다,49
중요한,3
그동안,2
버렸던,2
백신,17
식품,2
얼리는,2
쓴다,21
될것,15
그린수소,10
조기,5
비정규직,1
해결,6
전념,1
피플,26
자리매,9
냉,2
도모,3
전술,1
적중,4
합작,494
택시,25
트럭,65
리스,9
기고,10
화물차,2
보급,22
석,25
탄탈,1
골든타임,8
난다,12
융,64
독일,48
지멘스,15
에너지정책,12
유틸리티,1
천안,1
업무,39
협약,150
예,5
타,5
조사,4
입찰,13
공고,6
버려지는,1
출전,4
제공,4
KESG,7
평택,4
매,7
梅經寒苦,6
주자,25
수자원공사,14
됐다,8
새길,2
유니폼,2
헤,2
경이만,2
난사람,2
이강훈,2
잡은,19
장통,17
민간,76
자원,42
참여정부,3
재정,10
절실,43
임건,3
묵,3
탐사,10
본부장,18
CCS,13
법적,3
근거,3
기여,23
옷,10
입고,7
⓹,11
쌓은,10
빛났다,14
땅,32
토양,4
탐,1
침,1
장치,2
특허,11
출원,2
자립,8
붙였다,2
정례,1
넘게,9
내다본,4
선견,4
정원,5
대우건설,18
KT,26
시설,28
보호,12
결합,11
이노,22
파노라마,3
유서,3
치,14
구조도,12
파란,5
거,44
개사,49
짓는다,17
그림,10
지배,4
김환,1
화두,38
메트라이프,1
생명,4
풀무원,2
법무부,1
EBS,1
끌,15
산재,2
고리,2
끊고,2
클린,32
운명,10
결정,16
짓는,10
본부,56
격상,3
언택트,1
생협,6
확충,15
하겠다,11
시행,9
HKOREA,4
맡는다,2
막,29
단행,16
수출,59
터트린,3
제약,17
원천,4
이바지,2
블루,123
찍은,2
대적,10
조직개편,16
세미나,6
용량,24
경제체제,1
나온다,8
자유,4
특,7
구로,1
지역,48
특색,1
살린,1
신제품,18
⑪,21
강화하는,17
다한,11
에어택시,10
최선,8
만큼,1
높여야,1
노멀,10
정착,6
옛,2
텃밭,9
영토,38
남동,162
전국,23
품질,14
경진,3
대회,20
대통령,96
톨,6
그라스,6
대미,4
래,8
국내외,38
소개,8
서도,15
수행,4
뜯어,28
보니,43
대장,16
재양,14
핀,3
든든한,6
버팀목,1
SKES,26
하기로,10
잡다,2
제안,6
아이디어,9
국동,17
룰,3
갇힌,3
회전,3
잡아라,56
대국민,6
공모전,4
탑승,7
홍보,7
중신,4
ITC,4
꽂힌,32
한국판,67
매진,2
목소리,6
국가,64
온실가스,14
오염,7
배출,58
없고,1
정화,1
성큼,33
다가온,13
유공,6
포상,3
룡,3
박종태,3
금탑,12
영예,7
감자,4
골병,4
CF,4
Trumbull,5
우수,7
대외,5
인정,9
들이는,8
전발,4
전사,8
조억원,22
다년,11
강도,10
건전,7
허리띠,3
졸라,3
인가,7
드론,40
방호,3
미래세,3
교육,5
상생,33
제품안전,2
관리원,3
부정,6
성적,10
예방,2
클로즈업,11
김정훈,31
글로비스,70
인증,12
주유소,14
석탄,39
난,12
빅데이터,6
법공,1
유비,1
무환,1
없다면,2
가속도,15
월일,13
열쇠,13
쥐었다,1
수장,19
고민,8
･,2
공신,1
신임,19
고심,14
가향,1
전자담배,1
퇴,1
SDI,23
끝났다,9
과감,24
이어져,1
실천,38
동반성,6
압박,8
부심,14
쓰나미,1
몰려온다,1
배당,20
정상화,20
개별,3
제도,3
통한,7
촉진,2
사활,31
삼각,3
편대,3
줄줄이,19
갈이,2
되는데,1
비결,6
팩트,16
체크,23
부실,13
심화,7
신정식,8
방만,6
비판,18
받나,12
무보,1
중기,1
보험,7
컨설팅,4
캐나다,10
들여,2
중소기업,5
각오,2
다져,10
KPS,5
사창,2
림,2
훈장,9
류재철,9
선포,17
밟는,5
천억,20
